stt,Gender,Class,Grade_level,school_type,Sib,fa_job,mo_job,income,exam,Self_evaluation,English,Lh_before_Cov,Lh_in_Cov,Total_Online,LHInstruction,LH_w_Instruction,onl_instr,onl_noninstr,Total_offline,off_instr,off_noninstr,nec_prog,nec_habit,nec_teacher,nec_parent,nec_sib,nec_friend,eff_moti,eff_con,eff_supp,eff_env,eff_obj,eff_resource,eff_friend,kno_med,kno_covid,kno_env,kno_soci,kno_elearn
1,1,4,1,2,2,1,2,2,5,3,3,1,1,2,0,4,0,2,2,0,2,4,4,4,5,4,4,3,4,5,4,3,4,4,5,5,4,3,2
2,2,4,1,2,3,1,2,3,5,4,3,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,2,4,3,4,4,4,4,4,4,2
3,1,4,1,2,2,2,2,2,2,2,2,1,2,1,0,5,0,1,4,0,4,3,3,4,4,4,3,2,2,2,4,3,4,2,4,4,4,4,3
4,2,4,1,2,2,1,2,3,2,3,3,1,2,5,0,10,0,5,5,0,5,4,4,3,3,3,3,4,4,3,4,4,4,4,5,5,4,3,3
5,3,4,1,2,2,1,2,2,5,3,3,1,1,1,0,3,0,1,2,0,2,5,5,4,5,3,4,3,2,2,5,4,5,3,5,5,4,3,2
6,1,4,1,2,1,1,2,4,2,2,3,1,1,0,2,1,0,0,3,2,1,4,4,4,4,4,4,3,3,4,4,2,4,2,4,4,4,4,2
7,2,4,1,2,2,2,2,4,5,3,4,2,1,1,0,2,0,1,1,0,1,5,5,4,2,2,3,4,5,4,4,5,5,5,4,4,3,3,2
8,2,4,1,2,2,1,2,3,2,3,3,2,3,4,4,6,1,3,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
9,2,4,1,2,3,2,1,3,2,2,2,1,1,1,2,1,0,1,2,2,0,5,5,4,4,4,4,5,2,3,2,5,4,1,5,5,2,2,2
10,2,6,2,2,4,2,2,5,6,3,4,2,2,3,3,1,3,0,1,0,1,4,5,3,4,3,3,5,4,3,2,4,4,2,4,4,4,4,4
11,2,4,1,2,2,4,4,2,6,3,3,2,2,6,2,4,2,4,0,0,0,4,4,2,2,2,2,4,4,2,4,4,4,4,4,4,2,2,4
12,2,4,1,2,2,2,2,3,5,3,2,2,1,1,1,3,0,1,3,1,2,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,4
13,2,4,1,2,1,2,2,6,5,3,3,2,1,2,0,4,0,2,2,0,2,3,3,4,4,3,3,3,3,4,4,3,4,3,3,3,4,4,2
14,2,6,2,2,2,2,2,3,5,3,4,2,3,11,0,22,0,11,11,0,11,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4
15,2,4,1,2,2,1,2,3,5,3,3,1,1,0,0,2,0,0,2,0,2,5,5,4,4,5,5,4,4,4,4,2,4,2,3,4,4,4,2
16,1,5,2,1,2,3,3,2,5,3,3,3,3,2,2,6,0,2,6,2,4,3,3,4,3,2,4,4,4,4,3,3,3,4,4,5,3,3,4
17,2,4,1,2,2,2,2,2,5,3,2,1,2,6,1,11,1,5,6,0,6,5,5,4,4,4,4,5,4,3,3,5,4,4,4,4,4,4,4
18,2,4,1,2,3,2,2,2,5,3,2,1,1,1,0,2,0,1,1,0,1,4,5,5,5,4,3,3,3,3,3,4,4,4,3,3,3,3,3
19,2,4,1,2,3,2,2,6,5,3,3,1,1,0,0,0,0,0,0,0,0,1,1,4,4,4,4,1,1,1,1,1,1,1,4,3,3,3,3
20,2,6,2,2,2,2,2,2,2,3,3,2,3,8,1,15,1,7,8,0,8,5,5,3,3,1,1,4,4,2,4,4,3,1,2,2,2,2,2
21,1,4,1,2,3,3,3,2,1,3,4,1,1,2,0,4,0,2,2,0,2,4,4,3,2,2,2,3,4,2,2,3,3,2,4,4,2,2,2
22,2,1,1,3,4,2,2,3,3,3,2,1,2,1,3,1,0,1,3,3,0,5,4,5,4,4,4,3,3,4,3,4,4,3,4,4,2,2,4
23,2,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,0,2,0,2,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4
24,3,4,1,2,2,2,2,3,5,4,4,1,1,2,1,3,1,1,2,0,2,4,4,3,3,3,4,2,3,3,4,3,4,4,4,4,4,4,2
25,2,4,1,2,2,1,2,2,2,3,3,1,1,0,0,0,0,0,0,0,0,4,4,4,4,3,3,4,3,4,4,3,4,3,4,4,4,4,3
26,1,4,1,2,3,2,2,2,5,1,1,1,2,3,0,5,0,3,2,0,2,5,5,5,5,2,2,5,3,1,1,1,5,5,5,5,5,5,5
27,2,6,2,3,2,3,3,3,5,3,2,2,3,10,9,9,6,4,8,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,2,6,2,3,2,2,4,4,5,2,3,1,1,1,2,2,0,1,3,2,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
29,2,4,1,2,2,2,2,5,5,4,4,1,1,2,0,3,0,2,1,0,1,4,4,4,4,1,1,4,3,3,4,4,4,2,4,4,3,3,3
30,1,2,1,3,2,4,2,2,6,2,2,2,2,2,2,2,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3
31,2,6,2,2,3,2,2,4,5,4,4,2,3,10,0,10,0,10,0,0,0,4,5,3,3,3,3,4,4,3,3,2,4,3,3,5,4,4,3
32,1,3,1,3,2,4,4,6,2,2,3,1,2,7,0,14,0,7,7,0,7,4,4,1,1,1,1,3,4,2,3,3,4,2,5,5,5,5,5
33,1,1,1,3,4,1,2,2,1,3,2,1,2,4,0,5,0,4,1,0,1,3,4,5,4,1,1,3,2,2,5,1,5,2,1,1,1,1,5
34,2,6,2,3,1,2,2,6,6,2,3,1,2,1,1,3,1,0,3,0,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
35,2,4,1,2,1,2,2,2,2,3,3,3,3,10,1,18,1,9,9,0,9,4,4,2,4,2,2,3,3,3,3,4,4,3,4,4,2,2,2
36,2,4,1,2,2,2,2,5,5,4,4,1,1,2,0,3,0,2,1,0,1,4,4,4,4,1,1,4,3,3,4,4,4,2,4,4,3,3,3
37,1,4,1,2,1,4,2,5,4,3,3,1,1,2,0,4,0,2,2,0,2,4,4,2,2,2,2,4,4,2,2,2,2,2,4,4,2,2,2
38,1,1,1,3,2,1,2,1,3,3,4,1,2,5,5,5,2,3,5,3,2,5,5,5,5,5,4,5,5,5,5,5,4,4,5,3,4,5,5
39,2,4,1,1,4,3,4,2,1,2,2,1,1,1,1,2,1,0,2,0,2,5,5,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4
40,3,6,2,2,3,1,2,6,5,3,3,1,1,1,0,3,0,1,2,0,2,4,4,3,3,3,3,2,3,3,4,3,3,3,4,4,4,3,3
41,2,4,1,2,2,2,2,4,2,3,3,1,2,0,0,7,0,0,7,0,7,4,4,3,2,2,2,3,3,2,4,4,2,4,4,3,2,2,3
42,1,4,1,1,2,1,2,1,5,4,4,1,2,3,0,6,0,3,3,0,3,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,3
43,2,1,1,3,2,2,2,4,6,2,4,2,2,2,2,0,2,0,0,0,0,1,3,3,4,4,4,3,4,4,1,3,3,1,2,2,3,3,3
44,1,4,1,1,2,2,4,3,2,3,3,1,1,2,2,2,1,1,2,1,1,4,3,3,4,3,3,3,4,3,3,3,3,4,2,3,2,2,3
45,2,4,1,2,2,2,1,3,5,3,3,1,1,0,0,2,0,0,2,0,2,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,2
46,2,4,1,2,2,1,2,3,5,3,3,1,1,0,0,3,0,0,3,0,3,4,4,4,4,4,4,2,2,3,4,1,3,4,4,4,4,4,4
47,2,1,1,3,4,1,2,4,6,4,3,1,2,2,2,3,1,1,3,1,2,4,4,4,4,4,3,4,3,3,4,3,4,4,3,3,3,3,4
48,2,4,1,2,3,2,2,5,5,3,4,1,1,1,0,2,0,1,1,0,1,1,1,4,4,3,5,1,1,1,1,1,5,1,5,4,1,1,1
49,2,4,1,2,3,2,2,4,6,3,3,2,3,4,0,9,0,4,5,0,5,5,5,5,5,3,4,4,3,2,5,5,5,3,5,5,4,2,3
50,1,5,2,3,4,2,2,3,1,3,2,1,1,1,9,0,1,0,8,8,0,5,5,5,5,5,5,3,2,4,2,1,1,1,5,5,4,4,1
51,1,4,1,2,4,1,2,4,2,3,4,1,2,6,0,12,0,6,6,0,6,4,5,4,4,1,4,5,4,4,4,4,4,5,5,5,3,3,5
52,1,4,1,2,2,2,2,5,4,3,4,2,3,10,0,12,0,10,2,0,2,4,4,5,5,5,5,5,4,4,2,4,5,5,4,5,3,3,3
53,2,6,2,2,4,3,2,3,5,3,3,2,3,11,0,22,0,11,11,0,11,5,5,5,4,4,4,5,5,4,5,5,4,4,5,5,5,5,4
54,1,2,1,3,2,4,2,6,4,3,3,1,3,2,0,2,0,2,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55,1,4,1,2,2,1,3,3,2,2,3,2,2,2,0,5,0,2,3,0,3,4,4,4,4,3,4,3,4,4,3,2,3,3,4,4,4,4,3
56,2,4,1,2,2,2,2,2,5,3,3,1,1,3,0,6,0,3,3,0,3,5,5,5,5,5,5,4,4,5,5,3,5,4,5,5,4,3,2
57,2,4,1,2,3,1,2,4,5,3,3,1,2,4,3,2,3,1,1,0,1,4,4,4,4,3,3,3,4,4,2,3,4,4,4,4,3,5,4
58,2,6,2,2,1,1,3,3,4,2,4,1,1,0,0,1,0,0,1,0,1,5,4,1,3,1,2,3,4,2,5,4,2,3,2,3,3,3,3
59,1,1,1,1,3,2,2,4,5,3,3,1,2,4,1,7,0,4,4,1,3,4,4,5,3,3,2,4,4,4,4,4,4,2,2,3,3,3,3
60,1,4,1,2,1,2,2,6,6,3,3,1,1,3,4,6,0,3,7,4,3,5,5,5,5,3,3,5,3,4,1,3,3,3,5,5,3,3,5
61,2,5,2,1,1,1,3,1,5,3,2,3,2,5,0,5,0,5,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
62,1,4,1,2,2,1,1,4,2,2,2,2,2,6,1,10,1,5,5,0,5,4,4,4,4,4,3,3,3,2,2,4,4,3,4,4,3,3,4
63,2,6,2,2,2,3,2,5,5,3,4,1,2,0,3,2,0,0,5,3,2,4,4,4,4,4,4,4,2,3,3,4,4,2,4,4,2,2,2
64,2,5,2,1,1,4,1,1,5,3,3,1,1,2,0,4,0,2,2,0,2,5,5,5,5,5,5,3,4,4,2,3,3,3,5,5,5,5,5
65,2,6,2,2,1,2,3,2,5,3,3,3,3,9,0,18,0,9,9,0,9,4,5,4,5,3,4,5,4,4,3,5,3,2,4,3,3,3,2
66,1,4,1,2,2,4,3,3,6,3,3,1,2,2,0,6,0,2,4,0,4,5,5,4,4,4,5,3,2,4,3,3,5,2,5,5,5,5,2
67,2,4,1,3,4,2,2,6,5,3,3,2,2,0,0,4,0,0,4,0,4,3,3,4,4,2,2,2,2,2,3,3,2,2,4,4,3,2,3
68,2,5,2,1,2,2,4,1,4,3,3,1,1,2,0,3,0,2,1,0,1,4,4,3,3,3,2,2,3,4,4,3,3,4,4,4,4,4,3
69,3,5,2,1,4,3,4,1,2,3,4,1,2,4,3,7,1,3,6,2,4,3,4,5,4,2,4,3,2,5,4,3,4,5,4,4,4,4,4
70,1,2,1,3,3,2,3,3,6,2,2,1,1,0,0,2,0,0,2,0,2,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
71,2,5,2,1,2,3,4,1,6,3,2,2,2,0,0,5,0,0,5,0,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
72,2,5,2,1,3,1,4,1,6,3,2,1,1,1,1,2,0,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
73,1,5,2,1,2,4,3,1,5,2,2,1,1,0,0,3,0,0,3,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
74,2,4,1,2,2,1,4,2,5,3,3,1,2,2,1,3,1,1,2,0,2,4,3,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4
75,1,5,2,1,2,3,3,1,4,2,3,1,1,0,0,0,0,0,0,0,0,3,4,2,5,2,2,1,1,1,1,1,1,1,4,4,4,4,4
76,3,4,1,3,2,2,2,4,4,2,3,1,1,2,0,4,0,2,2,0,2,4,3,4,4,3,3,5,5,2,5,5,3,3,5,5,5,5,3
77,1,2,1,1,4,3,3,2,1,3,3,1,1,2,1,2,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4
78,2,4,1,1,3,2,2,4,3,4,3,1,2,6,0,12,0,6,6,0,6,4,4,4,5,4,3,5,4,4,5,5,4,3,5,5,4,4,5
79,3,6,2,3,2,2,2,2,6,3,2,2,2,5,3,4,2,3,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
80,2,5,2,1,3,3,4,1,2,2,2,1,2,4,1,6,0,4,3,1,2,3,4,4,3,3,3,4,2,2,2,4,4,2,4,4,4,4,4
82,2,4,1,2,3,1,2,3,5,4,3,1,1,2,0,3,0,2,1,0,1,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,3,4,5
83,2,5,2,1,4,4,4,1,1,2,2,2,2,6,4,6,2,4,4,2,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3
84,2,1,1,3,3,2,3,3,4,3,3,1,1,30,0,31,0,30,1,0,1,3,4,4,4,4,4,3,3,4,4,4,3,3,5,4,4,4,4
85,1,4,1,1,2,2,2,2,2,2,3,1,2,0,0,0,0,0,0,0,0,5,5,3,4,3,3,5,5,4,5,5,3,3,4,5,3,3,3
86,1,1,1,1,1,1,2,2,1,3,3,1,1,6,3,3,3,3,0,0,0,4,3,4,4,4,4,3,4,4,3,3,2,3,4,4,4,4,4
87,2,4,1,2,4,3,3,2,3,3,2,1,1,1,1,2,1,0,2,0,2,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4
88,2,5,2,1,2,4,3,1,4,2,2,1,1,3,2,4,1,2,3,1,2,5,5,4,3,3,3,4,4,2,2,4,4,4,4,4,4,4,3
89,1,4,1,2,2,2,2,3,6,3,3,1,1,0,0,0,0,0,0,0,0,4,3,4,5,2,4,3,3,5,3,3,4,4,4,4,4,3,3
90,1,5,2,3,2,1,2,3,1,2,2,1,1,3,0,6,0,3,3,0,3,5,4,1,1,1,1,4,4,1,4,4,4,1,3,3,3,3,3
91,1,1,1,3,4,3,1,6,1,2,2,1,1,0,1,1,0,0,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
92,2,5,2,1,2,2,4,3,5,3,3,1,1,1,0,2,0,1,1,0,1,5,5,5,5,5,5,4,4,2,4,3,4,4,5,5,5,5,5
93,2,2,1,1,3,2,2,3,3,4,4,1,3,5,1,8,1,4,4,0,4,4,4,4,4,1,1,5,5,2,5,5,5,3,4,4,4,4,4
94,1,4,1,2,2,2,1,2,5,2,2,1,2,2,0,5,0,2,3,0,3,5,5,4,4,4,4,5,2,4,4,4,3,2,1,1,1,1,1
95,2,6,2,2,2,2,2,5,5,3,4,1,1,0,0,1,0,0,1,0,1,4,4,3,2,2,3,3,3,2,3,2,3,3,4,4,3,2,2
96,1,5,2,1,4,3,4,2,3,3,1,2,1,1,0,2,0,1,1,0,1,4,4,2,3,5,1,2,3,3,4,1,2,3,4,5,4,4,3
97,1,4,1,2,2,2,2,3,5,3,3,3,2,3,1,6,1,2,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
98,2,5,2,1,1,4,4,1,4,3,2,1,1,1,1,0,1,0,0,0,0,4,4,4,4,4,4,3,3,3,2,3,3,2,3,3,3,3,3
99,1,4,1,2,2,1,2,2,5,2,2,1,2,1,0,7,0,1,6,0,6,4,4,4,4,4,4,4,3,2,4,4,3,2,4,4,4,4,3
100,1,5,2,1,1,2,2,6,1,4,2,1,1,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
101,2,4,1,2,2,1,2,2,5,3,3,2,3,1,0,10,0,1,9,0,9,5,5,2,4,2,4,4,4,3,2,3,4,4,4,4,4,4,2
102,2,5,2,1,3,3,4,2,4,3,2,1,1,1,0,3,0,1,2,0,2,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,3
103,1,5,2,1,4,3,1,2,3,3,2,2,2,5,0,7,0,5,2,0,2,4,4,3,4,3,3,4,4,3,3,4,4,4,4,4,3,3,3
104,2,5,2,1,4,1,4,2,1,3,3,1,1,1,0,1,0,1,0,0,0,4,4,3,3,3,2,3,4,3,4,3,4,3,4,3,3,3,4
106,2,5,2,1,2,1,2,2,5,3,2,2,2,4,1,6,1,3,3,0,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4
107,1,4,1,1,1,2,2,6,6,3,1,1,1,0,0,0,0,0,0,0,0,3,4,4,3,3,3,4,3,3,4,4,4,4,3,3,3,3,3
108,2,4,1,2,4,1,2,4,5,4,4,2,3,0,0,10,0,0,10,0,10,5,5,2,2,2,2,5,5,2,5,5,5,2,5,5,5,5,2
109,2,4,1,2,2,2,4,4,5,3,3,1,2,4,0,8,0,4,4,0,4,4,1,1,1,4,4,4,1,4,4,4,1,1,1,1,4,4,4
110,1,5,2,1,1,1,4,1,6,3,2,1,1,0,0,0,0,0,0,0,0,4,3,4,4,3,2,3,2,4,4,2,1,4,4,5,4,4,3
111,2,1,1,1,2,1,2,4,6,4,4,2,2,7,0,7,0,7,0,0,0,5,5,5,5,5,3,4,4,4,4,4,4,3,5,5,4,3,3
112,2,6,2,2,1,2,2,3,2,3,3,1,1,0,0,0,0,0,0,0,0,5,5,3,4,3,2,2,2,3,4,3,3,2,3,4,3,4,2
113,1,5,2,1,1,2,2,2,6,2,3,1,1,1,1,2,0,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
114,2,4,1,2,2,1,2,2,5,3,3,1,1,1,0,3,0,1,2,0,2,5,5,4,4,3,4,4,5,4,5,3,5,4,5,5,4,4,4
115,1,5,2,1,1,1,2,2,2,2,2,2,1,3,0,6,0,3,3,0,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4
116,2,6,2,2,2,1,1,2,2,3,2,1,1,0,0,0,0,0,0,0,0,1,1,5,5,5,3,1,2,3,3,4,4,4,4,3,3,3,3
117,2,4,1,2,2,2,2,6,5,3,3,1,1,2,1,4,0,2,3,1,2,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,3,3,4
118,1,4,1,2,2,2,4,2,5,3,3,1,2,3,0,6,0,3,3,0,3,4,5,4,5,2,3,4,4,4,5,5,5,5,5,5,4,3,2
119,1,3,1,1,2,2,2,3,1,3,3,2,3,6,2,6,2,4,2,0,2,3,5,3,5,5,3,4,5,5,5,4,4,1,5,5,1,1,5
120,1,1,1,3,4,3,2,3,6,3,2,1,1,2,1,1,1,1,0,0,0,3,3,5,4,3,2,3,4,4,4,3,2,3,5,3,3,3,3
121,1,5,2,1,4,1,1,3,1,3,2,1,2,0,0,5,0,0,5,0,5,4,5,3,5,3,4,5,3,4,3,5,4,5,4,4,2,2,3
122,1,4,1,2,1,1,4,2,5,4,4,2,1,2,0,4,0,2,2,0,2,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,2,2,2
123,2,4,1,2,3,2,2,3,5,3,3,1,2,0,0,5,0,0,5,0,5,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,3,3
124,1,1,1,3,2,1,2,2,2,3,2,2,2,4,1,6,1,3,3,0,3,5,5,4,4,3,3,5,5,5,5,5,5,3,5,4,5,5,3
125,2,4,1,2,2,1,2,4,5,3,4,1,2,2,2,2,1,1,2,1,1,4,4,5,5,3,3,3,4,4,4,3,3,3,4,4,3,3,3
126,2,5,2,3,3,2,2,2,5,2,1,1,1,2,1,2,1,1,1,0,1,3,3,5,5,3,3,3,2,2,2,2,2,2,4,5,5,5,3
127,2,6,2,2,2,1,2,3,5,3,4,1,3,2,1,8,0,2,7,1,6,4,3,3,2,2,3,3,2,2,4,4,4,4,3,3,4,4,4
128,2,4,1,2,2,1,1,3,3,3,3,2,2,3,0,7,0,3,4,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3
129,2,1,1,3,4,2,2,5,5,2,2,2,1,4,4,8,1,3,8,3,5,4,4,4,4,3,4,4,3,4,4,4,4,5,1,1,1,1,2
130,3,4,1,3,3,1,2,1,5,2,2,1,2,6,0,12,0,6,6,0,6,4,4,3,3,3,3,2,2,4,3,3,4,4,3,3,3,3,3
131,1,1,1,2,2,1,2,2,1,3,3,1,1,1,2,1,0,1,2,2,0,5,5,4,4,4,4,4,3,5,4,3,5,2,4,5,4,2,2
132,2,5,2,3,4,1,1,3,5,2,2,1,1,2,2,0,2,0,0,0,0,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
133,1,5,2,1,2,3,3,1,6,2,3,1,1,3,0,6,0,3,3,0,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
134,2,5,2,1,2,3,3,3,2,3,2,1,1,1,0,1,0,1,0,0,0,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4
135,2,5,2,1,2,1,4,2,4,2,2,1,2,3,3,1,3,0,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
136,1,1,1,3,2,1,2,6,6,2,4,1,2,2,1,1,1,1,0,0,0,4,5,5,4,3,3,4,4,4,5,5,4,3,4,3,5,5,4
137,2,4,1,2,1,1,2,6,5,4,4,2,1,0,0,3,0,0,3,0,3,5,5,4,4,2,2,4,5,3,5,5,5,2,5,5,3,3,5
138,2,4,1,2,2,2,2,3,2,3,4,1,2,5,0,10,0,5,5,0,5,4,4,2,2,2,2,2,2,2,3,3,4,3,4,4,2,2,2
139,1,5,2,1,2,3,4,1,5,2,2,3,3,6,8,6,4,2,8,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
